행정구역,행정코드,총인구수
경기도 시흥시 배곧2동,4139059700,"35,452"
경기도 시흥시 과림동,4139062100,"1,806"
경기도 시흥시 연성동,4139063000,"24,156"
경기도 시흥시 장곡동,4139063100,"44,853"
경기도 시흥시 능곡동,4139064000,"25,098"
경기도 시흥시 거북섬동,4139065000,"10,398"
경기도 안산시 상록구 일동,4127151000,"23,444"
경기도 안산시 상록구 이동,4127151500,"22,805"
경기도 안산시 상록구 사동,4127152500,"30,099"
경기도 안산시 상록구 사이동,4127153200,"31,111"
경기도 안산시 상록구 해양동,4127153700,"40,391"
경기도 안산시 상록구 본오1동,4127154000,"35,589"
경기도 안산시 상록구 본오2동,4127155000,"24,928"
경기도 안산시 상록구 본오3동,4127156000,"18,627"
경기도 안산시 상록구 부곡동,4127157000,"20,808"
경기도 안산시 상록구 월피동,4127158000,"36,464"
경기도 안산시 상록구 성포동,4127159000,"25,096"
경기도 안산시 상록구 반월동,4127160000,"16,831"
경기도 안산시 상록구 안산동,4127161000,"8,674"
경기도 안산시 단원구 와동,4127351000,"36,697"
경기도 안산시 단원구 고잔동,4127352500,"20,396"
경기도 안산시 단원구 중앙동,4127353200,"23,549"
경기도 안산시 단원구 호수동,4127353500,"42,772"
경기도 안산시 단원구 원곡동,4127354500,"5,613"
경기도 안산시 단원구 백운동,4127355500,"24,221"
경기도 안산시 단원구 신길동,4127356500,"21,222"
경기도 안산시 단원구 초지동,4127357000,"45,838"
경기도 안산시 단원구 선부1동,4127358000,"17,072"
경기도 안산시 단원구 선부2동,4127359000,"14,734"
경기도 안산시 단원구 선부3동,4127360000,"33,122"
경기도 안산시 단원구 대부동,4127361000,"9,205"
경기도 안양시 만안구 안양1동,4117151000,"11,883"
경기도 안양시 만안구 안양2동,4117152000,"22,983"
경기도 안양시 만안구 안양3동,4117153000,"15,687"
경기도 안양시 만안구 안양4동,4117154000,"6,738"
경기도 안양시 만안구 안양5동,4117155000,"10,012"
경기도 안양시 만안구 안양6동,4117156000,"26,557"
경기도 안양시 만안구 안양7동,4117157000,"15,006"
경기도 안양시 만안구 안양8동,4117158000,"8,339"
경기도 안양시 만안구 안양9동,4117158100,"16,524"
경기도 안양시 만안구 석수1동,4117159000,"18,864"
경기도 안양시 만안구 석수2동,4117160000,"30,097"
경기도 안양시 만안구 석수3동,4117161000,"12,535"
경기도 안양시 만안구 박달1동,4117162100,"14,180"
경기도 안양시 만안구 박달2동,4117163000,"21,259"
경기도 안양시 동안구 비산1동,4117351000,"28,800"
경기도 안양시 동안구 비산2동,4117352000,"14,547"
